cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
AT3G11210.1,AT5G52810.1,AT4G11160.2,AT3G09780.1,AT2G25850.3,AT1G48745.1,AT2G31290.1,AT5G12420.1
AT2G18760.4,AT5G26742.3,AT1G03340.1,AT5G02150.1,AT2G25850.2,AT4G24590.3,AT3G57320.1,AT5G12420.2
AT1G52280.1,AT1G20610.1,AT5G45560.2,AT3G62400.2,AT3G29185.2,AT3G44190.2,AT1G56010.1,AT1G06870.1
AT2G22290.1,AT1G10760.3,AT5G63595.1,AT5G11920.3,AT5G14930.1,AT3G44190.1,AT1G45160.1,AT4G38740.1
AT3G51630.2,AT3G17100.1,AT4G23050.1,AT3G28956.7,AT3G19250.1,AT3G20330.1,AT2G01910.1,AT2G26780.1
AT5G48560.1,AT2G23348.4,AT4G25434.10,AT3G28956.10,AT2G36880.2,AT5G27930.2,AT5G15130.2,AT1G73490.1
AT4G39940.1,AT3G59490.2,AT1G06630.7,AT1G49032.2,AT3G60070.2,AT5G55710.1,AT2G01350.2,AT3G47990.1
AT4G38390.1,AT5G50020.2,AT1G17940.2,AT4G38950.4,AT4G33080.2,AT5G23240.1,AT1G79280.1,AT3G12280.1
AT1G24881.1,AT3G56910.1,AT5G59890.1,AT3G50640.1,AT3G02065.2,AT3G05060.1,AT1G02960.1,AT3G12280.2
AT4G25410.1,AT4G24730.1,AT1G10780.1,AT5G23520.2,AT5G43760.1,AT1G10480.1,AT1G02960.3,AT1G08800.1
AT4G33020.1,AT3G61430.1,AT4G10430.5,AT2G06925.1,AT1G08670.1,AT5G29000.2,AT1G68460.1,AT5G06350.1
AT2G22470.1,AT1G52370.2,AT5G60210.1,AT5G11180.1,AT1G65250.1,AT3G53320.1,AT2G47510.2,AT5G17460.1
AT2G47240.4,AT3G52770.1,AT2G27740.2,AT5G11180.2,AT5G01560.1,AT2G28060.3,AT5G47820.1,AT3G44550.2
AT5G60760.2,AT3G15850.1,AT2G27740.1,AT3G17609.2,AT3G28710.1,AT1G18330.1,AT3G55770.2,AT3G44550.1
AT1G59725.1,AT5G62200.1,AT4G11470.1,AT1G64105.1,AT4G04470.2,AT3G57810.4,AT1G60890.1,AT2G16920.2
AT1G72870.1,AT4G25680.1,AT5G60120.6,AT3G23450.1,AT1G69588.1,AT3G57810.1,AT1G66260.1,AT1G14380.4
AT5G15210.1,AT2G28150.1,AT3G47490.1,AT5G11160.1,AT3G24860.1,AT1G53780.3,AT4G18010.2,AT5G04895.1
AT5G46780.1,AT3G55820.1,AT3G26590.2,AT3G22630.1,AT2G41240.1,AT2G13550.1,AT4G14920.1,AT4G37520.1
AT5G25640.1,AT4G24290.2,AT3G04490.4,AT4G04925.1,AT1G51890.3,AT2G13550.2,AT3G03040.1,AT3G26440.5
AT2G37160.1,AT5G55500.1,AT1G73850.1,AT3G09240.3,AT5G52110.1,AT4G37550.5,AT4G00990.3,AT3G26440.1
AT3G04630.3,AT3G25410.1,AT3G17100.2,AT2G40860.3,AT5G44680.1,AT1G49720.1,AT1G09840.2,AT1G78450.1
AT5G19430.1,AT1G05600.1,AT4G24610.4,AT1G64405.1,AT1G26170.1,AT1G23970.2,AT5G47390.1,AT5G06130.1
AT4G08470.1,AT1G73230.1,AT5G50020.3,AT5G55050.1,AT3G23030.2,AT4G34090.1,ATCG00140.1,AT5G02850.1
AT1G30850.1,AT5G52545.2,AT1G27850.1,AT4G15475.1,AT1G35330.1,AT1G09470.1,AT1G78300.1,AT5G62690.1
AT1G19100.1,AT1G34750.4,AT2G43260.2,AT4G13860.1,AT5G35926.1,AT1G17520.1,AT1G24030.1,AT5G66690.1
AT2G45120.1,AT5G65220.1,AT3G20440.2,AT4G29900.1,AT1G79680.1,AT5G18320.1,AT1G63520.1,AT5G59220.1
AT5G02550.1,AT1G76760.1,AT5G65110.2,AT1G63260.2,AT1G77890.5,AT1G73090.1,AT5G44635.1,AT5G12030.1
AT1G75220.1,AT5G67290.1,AT1G78360.1,AT4G38970.1,AT3G21110.3,AT1G15200.3,AT1G60860.2,AT5G06440.3
AT1G27600.1,AT2G38370.2,AT2G47490.1,AT1G50575.1,AT2G29570.1,AT3G21100.3,AT1G60860.3,AT5G10946.1
AT4G38340.2,AT4G25700.1,AT5G55610.1,AT5G65040.1,AT1G61180.2,AT5G03340.1,AT1G51160.2,AT5G24660.1
AT1G09000.2,AT5G25630.3,AT2G33847.1,AT4G32650.1,AT1G72840.4,AT4G33240.4,AT4G13340.1,AT5G50710.1
AT1G14455.1,AT4G26410.1,AT5G28040.1,AT4G34880.2,AT5G01900.1,AT2G20830.5,AT4G24760.1,AT1G69680.1
AT5G58320.2,AT2G32920.1,AT4G24290.3,AT2G43535.1,AT5G41750.2,AT3G09070.1,AT2G23930.1,AT2G22740.1
AT4G02390.2,AT5G35980.2,AT2G40270.1,AT3G01190.1,AT5G41750.1,AT1G09950.1,AT1G31360.4,AT5G08230.1
AT5G62760.3,AT3G18040.1,AT2G15480.2,AT5G16900.4,AT1G73160.1,AT4G34320.1,AT3G56800.1,AT2G01820.1
AT1G51790.2,AT3G60210.1,AT1G78190.1,AT3G23160.1,AT1G01620.2,AT3G15110.1,AT2G38820.2,AT5G52410.3
AT5G58160.1,AT5G57120.1,AT4G35180.1,AT5G11280.1,AT1G14690.2,AT2G36390.1,AT2G18520.1,AT3G61210.1
AT2G43470.1,AT4G17616.1,AT2G30120.6,AT1G76610.1,AT2G18240.1,AT4G20400.2,AT1G78650.1,AT5G04250.1
AT5G50850.1,AT1G66410.3,AT1G80770.1,AT4G11240.1,AT1G25460.1,AT4G02530.2,AT1G75150.1,AT5G04250.2
AT5G50180.1,AT2G35010.1,AT4G13860.2,AT5G37190.1,AT3G26210.1,AT3G52860.1,AT1G03700.1,AT5G41140.2
AT5G28630.1,AT4G09680.3,AT3G48430.2,AT1G43770.2,AT4G36420.1,AT1G22910.2,AT2G24945.1,AT5G46700.1
AT1G01020.1,AT5G08510.1,AT3G48430.1,AT1G72275.2,AT1G07820.1,AT3G63520.1,AT1G05940.1,AT3G14620.1
AT5G67590.1,AT1G30460.2,AT5G49890.1,AT1G66410.1,AT3G12900.1,AT1G56440.1,AT1G05940.4,ATCG00810.1
AT5G20080.1,AT2G38000.1,AT1G06410.1,AT3G12140.1,AT1G70920.1,AT1G52220.1,AT3G23890.1,AT2G45140.1
AT2G46170.1,AT3G27340.4,AT3G46610.2,AT4G23270.2,AT4G11390.2,AT3G61220.1,AT1G12244.1,AT2G21940.1
AT1G26970.1,AT3G04680.1,AT5G16450.2,AT5G57170.1,AT4G02080.1,AT1G22550.1,AT5G22100.1,AT3G19280.1
AT1G52660.1,AT1G15960.1,AT1G53440.1,AT2G37700.3,AT3G61010.1,AT5G35940.1,AT5G38140.1,AT5G59890.2
AT3G48590.1,AT4G13200.1,AT2G33830.2,AT4G36260.1,AT3G61010.2,AT3G19950.1,AT1G63050.1,AT3G20570.1
AT3G54810.2,AT5G27300.3,AT5G06670.3,AT2G27340.3,AT2G28330.1,AT5G36960.1,AT5G09380.2,AT2G17410.1
AT3G59770.1,AT2G22620.1,AT1G55900.1,AT2G01450.3,AT2G44800.1,AT2G44050.1,AT1G27130.1,AT4G14020.1
AT3G26000.1,AT1G78430.1,AT3G11620.2,AT3G27340.1,AT5G13190.1,AT5G58490.1,AT5G05510.1,AT1G80420.1
AT4G10550.2,AT1G35350.2,AT3G19460.4,AT5G07100.5,AT1G10970.1,AT1G16470.1,AT1G24996.1,AT3G12730.1
AT4G31390.3,ATCG00360.1,AT3G27530.1,AT3G43850.2,AT5G66790.1,AT2G18470.1,AT5G21950.3,AT4G18880.1
AT5G10990.1,AT4G38225.1,AT2G37035.1,AT2G20440.2,AT1G71710.1,AT3G58630.1,AT1G49160.1,AT1G67120.2
AT5G03530.2,AT5G20165.4,AT4G32551.1,AT1G25520.1,AT3G44100.1,AT3G22200.2,AT5G25170.1,AT3G18860.1
AT5G49680.2,AT5G20165.2,AT1G72275.1,AT5G61260.3,AT4G36000.1,AT4G04470.1,AT2G29960.3,AT4G34610.3
AT2G31865.1,AT1G48370.1,AT4G23270.3,AT5G61260.1,AT5G63550.2,AT4G22280.1,AT5G61030.1,AT1G22430.1
AT3G03780.3,AT5G32440.3,ATMG00080.1,AT1G35350.1,AT1G56190.2,AT1G46768.1,AT4G19160.4,AT4G33467.2
AT4G19680.1,AT5G11340.1,AT1G63720.1,AT1G71015.1,AT1G22280.1,AT3G24040.1,AT1G50750.1,AT5G48920.1
AT1G05700.2,AT1G50490.1,AT1G75020.2,AT2G39805.2,AT2G27170.3,AT3G51800.1,AT4G35300.3,AT5G04420.1
AT1G33080.1,AT4G28030.1,AT3G50900.1,AT4G05330.1,AT5G27110.1,AT1G19270.1,AT4G35300.11,AT1G16460.1
AT2G25820.1,AT2G36835.1,AT4G37900.2,AT4G03140.1,AT2G23200.1,AT5G58070.1,AT1G49210.1,AT1G62180.2
AT2G05590.1,AT3G27830.1,AT1G69260.1,AT5G20165.1,AT4G02260.3,AT3G01930.3,AT1G34120.5,AT4G13530.2
AT2G46140.1,AT2G37060.2,AT1G21700.1,AT4G16500.2,AT4G02350.2,AT4G18980.1,AT1G58350.2,AT1G79520.2
AT1G64920.1,AT5G35995.2,AT1G53430.1,AT3G61560.1,AT2G29125.1,AT2G28120.1,AT2G02610.1,AT1G79520.1
AT3G23550.1,AT3G63510.1,AT1G32940.1,AT3G51360.6,AT3G11540.2,AT1G62990.1,AT2G45150.1,AT1G79520.4
AT1G78900.2,AT1G23205.1,AT1G02705.1,AT3G51360.7,AT3G20600.1,AT2G39730.1,AT1G12290.4,AT3G27570.1
AT1G14450.1,AT2G14800.1,AT3G23610.6,AT5G19980.1,AT1G02100.1,AT5G15910.2,AT5G09410.1,AT1G28420.1
AT4G01860.1,AT1G11060.1,AT1G48370.2,AT1G18140.1,AT1G32730.1,AT1G07840.1,AT3G20640.3,AT4G28480.1
AT1G79990.1,AT2G41120.1,AT5G03760.1,AT1G51590.2,AT4G34360.1,AT1G25682.2,AT3G20640.2,AT5G50940.1
AT4G00070.1,AT2G26930.1,AT4G18440.1,AT1G51590.1,AT3G30380.2,AT1G62740.1,AT2G04390.1,AT1G26770.1
AT3G47630.6,AT1G27880.1,AT5G41220.1,AT4G04340.1,AT2G28070.2,AT2G46290.1,AT2G02870.3,AT1G08370.1
AT2G39180.1,AT5G37930.1,AT3G59630.1,AT4G37820.1,AT3G63480.2,AT1G60030.1,AT5G59550.1,AT4G34120.1
AT3G03990.1,AT4G34430.3,AT4G24050.1,AT1G04080.3,AT1G18460.1,AT1G45201.2,AT2G04845.2,AT4G19220.1
AT5G49780.3,AT4G33625.1,AT1G44180.1,AT3G45700.1,AT3G60450.1,AT5G51010.1,AT3G60520.1,AT5G43980.1
AT1G50060.1,AT2G35940.2,AT5G27120.1,AT4G11230.1,AT5G58580.1,AT1G68990.1,AT1G78070.3,AT5G16290.1
AT1G21360.1,AT2G35940.1,AT2G37060.1,AT3G08630.1,AT3G60400.1,AT2G37410.1,AT1G78070.1,AT1G75500.1
AT1G53040.5,AT4G30550.1,AT1G69670.2,AT4G16140.1,AT5G06560.1,AT1G06230.4,AT5G23210.4,AT5G25940.1
AT3G51470.1,AT3G59800.1,AT1G53180.3,AT2G17450.1,AT4G27657.1,AT4G28530.1,AT1G79500.4,AT3G59490.1
AT3G58000.1,AT2G44530.2,AT2G26190.2,AT2G40205.1,AT1G10000.1,AT3G03340.3,AT3G05090.2,AT5G10490.1
AT5G20400.1,AT3G20935.1,AT2G26190.1,AT5G03850.1,AT1G34260.4,ATMG00513.1,AT3G49920.3,AT4G00760.2
AT1G65610.1,AT3G56030.1,AT3G24255.3,AT1G18680.1,AT1G34760.1,AT1G02860.1,AT4G05200.1,AT5G42720.1
AT5G24165.2,AT2G10940.1,AT3G58670.2,AT4G15270.2,AT4G25260.1,AT4G39360.1,AT2G20340.1,AT1G52370.3
AT2G28130.1,AT5G03070.1,AT3G11010.1,AT1G17665.1,AT1G04000.1,AT5G51450.2,AT5G07900.1,AT2G27830.1
AT4G33730.1,AT4G25650.2,AT4G22070.3,AT3G46800.1,AT5G13890.2,AT5G51450.1,AT2G04865.2,AT5G15240.1
AT3G51340.2,AT1G78200.1,AT3G32940.1,AT5G57450.1,AT5G13890.3,AT3G08620.1,AT4G26370.2,AT4G07390.1
AT3G20380.1,AT2G45480.1,AT5G24900.2,AT2G22980.5,AT2G43210.2,AT2G17770.2,AT1G29120.6,AT1G47750.1
AT4G29450.1,AT1G67040.1,AT5G28380.1,AT2G22980.3,AT5G50390.1,AT3G15940.1,AT1G19400.2,AT4G12290.2
AT1G29330.1,AT1G32700.2,AT2G45170.1,AT5G65790.1,AT4G32180.1,AT3G22330.1,AT5G57770.1,AT1G68740.1
AT5G60900.1,AT3G22120.1,AT1G16190.1,AT5G66620.3,AT3G03690.2,AT5G40650.2,AT4G24910.1,AT5G39530.1
AT1G73150.1,AT1G16350.1,AT3G13898.1,AT3G13360.2,AT1G15630.1,ATCG00340.1,AT5G50400.1,AT5G39530.2
AT1G16710.7,AT4G20890.1,AT5G11540.1,AT3G10520.1,AT4G12020.4,AT2G20560.1,AT2G43180.4,AT2G42790.1
AT4G12530.1,AT4G14700.1,AT1G24560.1,AT2G44900.1,AT5G51620.3,AT1G66330.2,AT1G08210.1,AT2G36490.1
AT4G35500.1,AT3G58850.1,AT1G21780.2,AT2G02350.1,AT2G29910.2,AT1G03160.1,AT1G08210.2,AT1G28400.1
AT3G26922.1,AT1G63110.2,AT2G14070.1,AT5G25757.1,AT5G43520.1,AT3G07050.1,AT2G47060.6,AT2G46630.1
AT2G20740.1,AT5G07590.4,AT4G33060.1,AT1G16860.1,AT2G13650.3,AT1G34360.1,AT5G01270.1,AT4G09180.1
AT5G23060.1,AT1G63980.2,AT5G53170.1,AT5G11170.1,AT4G13660.1,AT5G04830.2,AT1G24120.1,AT1G77030.1
AT2G03390.1,AT1G09840.9,AT2G19380.1,AT2G26190.3,AT5G53850.2,AT5G14210.2,AT1G22300.2,AT5G65110.1
AT4G28710.1,AT1G09840.7,AT1G14000.1,AT5G39350.1,AT4G08390.1,AT3G47530.1,AT4G23730.1,AT4G20840.1
AT1G34770.1,AT5G49820.1,AT1G80920.1,AT2G44740.1,AT5G38820.1,AT2G28550.6,AT5G48790.1,AT5G23520.1
AT4G33620.1,AT1G66510.2,AT3G54120.1,AT5G22370.1,AT1G66090.1,AT1G72150.1,AT5G20830.1,AT5G02470.1
AT1G26750.1,AT3G21190.1,AT3G55770.4,AT5G54145.1,AT3G12070.2,AT4G32770.1,AT4G37100.1,AT3G04640.1
AT3G02420.1,AT3G26850.2,AT5G01470.3,AT4G00420.2,AT2G30000.1,AT4G09980.1,AT4G03540.1,AT4G13710.1
AT1G58190.3,AT3G53410.1,AT2G19730.3,AT3G60240.3,AT3G48890.1,AT1G11870.1,AT5G48690.1,AT2G14247.1
AT1G58190.1,AT4G03030.1,AT4G16845.1,AT5G11980.1,AT3G46600.1,AT2G20530.1,AT3G06700.2,AT1G76690.1
AT1G09860.1,AT3G05820.2,AT1G54610.3,AT3G58670.1,AT1G16250.2,AT3G18790.1,AT2G34680.1,AT3G55760.1
AT1G02230.1,AT4G36540.1,AT3G60680.1,AT3G62370.1,AT1G03920.2,AT4G25610.1,AT5G11900.1,AT5G24870.1
AT3G25950.1,AT3G13900.3,AT5G52890.1,AT4G05040.3,AT3G16700.2,AT2G17640.1,AT5G51545.1,AT1G80770.4
AT1G15020.2,AT4G36380.2,AT1G01790.1,AT1G68140.2,AT1G01580.1,AT4G23020.1,AT5G18290.2,AT2G30200.1
AT5G51470.1,AT4G19140.1,AT3G59290.1,AT3G45080.1,AT1G72650.2,AT1G16480.1,AT5G27930.1,AT5G41400.1
AT3G62270.1,AT1G15415.1,AT4G03410.1,AT1G03330.1,AT5G11690.1,AT4G02150.1,AT1G07570.2,AT5G05110.1
AT2G04400.1,AT1G21190.1,AT3G05030.1,AT4G16920.4,AT3G46190.1,AT5G57565.6,AT1G29990.1,AT3G05250.1
AT1G13080.1,AT1G19000.1,AT4G35390.1,AT4G10840.1,AT5G25754.1,AT1G71710.2,AT1G07645.1,AT1G30400.1
AT3G49630.1,AT5G54430.2,AT3G08980.2,AT5G44180.3,AT1G09310.1,AT4G08180.2,AT1G74530.3,AT5G63500.1
AT5G22030.1,AT2G21290.1,AT5G35200.2,AT2G45710.1,AT4G11080.1,AT5G56030.1,AT2G33480.3,AT1G07320.1
AT2G44160.1,AT3G02290.5,AT5G18170.1,AT5G58784.1,AT5G49160.1,AT1G19860.2,AT2G33480.1,AT5G25920.1
AT4G11300.1,AT5G26850.2,AT1G63110.1,AT5G15440.1,AT5G65770.3,AT3G02860.1,AT5G25130.1,AT4G32040.2
AT3G32040.1,AT5G14760.1,AT1G09840.3,AT2G19430.1,AT2G01480.2,AT3G60840.1,AT1G79000.3,AT1G12060.1
AT3G14830.4,AT5G59160.2,AT3G14225.2,AT1G44960.1,AT1G28530.2,AT5G04710.1,AT2G34350.2,AT1G17750.1
AT1G56290.1,AT1G05940.3,AT2G38950.1,AT1G21780.1,AT1G26255.2,AT2G31300.1,AT5G47030.1,AT2G44200.1
AT1G10350.1,AT2G30590.1,AT1G26150.2,AT1G30860.1,AT5G62300.2,AT1G23080.1,AT3G53090.2,AT4G14000.1
AT4G20030.1,AT1G18250.1,AT1G24030.6,AT1G53680.1,AT1G77520.1,AT1G50400.1,AT2G01630.1,AT3G02875.2
AT2G32080.2,AT1G18620.1,AT2G40715.1,AT1G28100.3,AT3G16220.1,AT4G01935.1,AT5G03390.1,AT3G02875.1
AT4G39670.1,AT5G44290.1,AT5G48990.1,AT1G28100.2,AT2G42060.1,AT1G58170.1,AT4G25570.2,AT3G25013.6
AT3G28860.1,AT5G51220.1,AT5G26780.1,AT5G17280.1,AT1G30970.3,AT1G05370.1,AT1G66345.1,AT1G77885.1
AT5G09310.1,AT1G04240.1,AT1G51160.3,AT4G27180.2,AT1G26380.1,AT4G11570.1,AT3G66658.2,AT3G57150.1
AT2G25410.1,AT4G17060.1,AT2G28815.1,AT2G43840.1,AT3G55470.1,AT1G72130.1,AT3G06630.7,AT4G33650.2
AT1G06820.4,AT1G70090.2,AT4G08790.1,AT1G27350.1,AT2G15530.7,AT4G00330.1,AT1G23970.1,AT5G60020.1
AT5G19920.1,AT5G23720.2,AT1G12240.1,AT1G17920.2,AT2G31370.3,AT5G49990.1,AT1G13330.1,AT1G22640.2
AT4G32560.2,AT1G54385.2,AT4G31150.1,AT3G05950.1,AT1G50430.1,AT2G44860.1,AT1G66800.1,AT3G61240.1
AT4G39370.1,AT3G04890.1,AT5G66560.2,AT5G47820.2,AT4G25170.2,AT4G25450.2,AT4G34090.2,AT5G25630.1
AT1G54115.1,AT4G15850.1,AT1G09010.1,AT1G48950.1,AT1G43190.1,AT5G65550.1,AT1G76740.1,AT2G33830.1
AT5G46370.1,AT5G17810.1,AT1G19000.2,AT5G02910.1,AT3G27610.9,AT1G67730.1,AT4G14270.2,AT2G19110.1
AT4G23330.3,AT4G01150.1,AT2G26390.1,AT3G07650.1,AT3G60480.2,AT5G46115.1,AT1G17520.2,AT2G19110.3
AT2G21045.1,AT3G17510.1,AT2G20825.1,AT3G07650.4,AT3G02950.1,AT1G63440.1,AT4G31510.1,AT2G19110.2
AT1G67410.1,AT3G02260.4,AT3G02290.3,AT3G55770.1,AT1G08680.4,AT4G15563.10,AT1G76240.1,AT1G67090.1
AT5G28960.1,AT1G23800.2,AT1G05410.1,AT3G55770.6,AT3G53370.1,AT4G15563.6,AT3G09730.3,AT5G23580.1
AT1G20260.1,AT1G12290.2,AT5G26850.1,AT5G01470.5,AT3G21780.1,AT2G24050.1,AT2G36290.2,AT3G16280.1
AT5G55290.3,AT5G44930.1,AT5G18760.1,AT1G70600.1,AT4G38960.2,AT1G21460.1,AT4G28040.1,AT5G13290.2
AT1G20980.1,AT5G09995.3,AT2G44350.1,AT2G19730.1,AT2G26030.3,AT4G14100.1,AT1G24095.1,AT1G48300.1
AT5G01010.3,AT3G07460.1,AT5G44290.7,AT2G19730.2,AT1G72950.1,AT5G27620.1,AT5G25520.3,AT5G35980.1
AT1G03470.3,AT1G22700.3,AT5G44290.2,AT5G41600.1,AT1G33240.3,AT5G17710.2,AT4G33240.2,AT3G18040.4
AT2G04430.1,AT1G33780.1,AT5G51220.3,AT1G76900.1,AT3G47160.3,AT1G07300.2,AT5G19990.2,AT2G34070.2
AT2G04430.2,AT1G68550.2,AT1G78870.3,AT5G49980.1,AT5G09730.1,AT1G07300.1,AT5G46350.1,AT2G47860.5
AT3G20850.1,AT4G12040.2,AT1G06440.1,AT5G26280.2,AT3G12040.1,AT2G27510.1,AT1G29410.6,AT3G13060.2
AT3G10660.2,AT1G17230.1,AT3G18535.1,AT5G26280.1,AT1G14280.1,AT5G62530.1,AT5G35560.2,AT2G31260.1
AT1G63450.1,AT3G01740.1,AT3G09360.1,AT1G16220.1,AT1G72520.1,AT3G09650.1,AT5G41100.1,AT1G43770.3
AT3G03610.1,AT5G04840.1,AT1G80360.1,AT1G04350.1,AT1G12220.3,AT5G47490.1,AT1G02700.1,ATMG00650.1
AT2G21880.1,AT5G26730.1,AT5G23720.1,AT3G48530.1,AT1G17860.1,AT1G24706.3,AT2G40800.2,AT1G14990.1
AT3G54250.1,AT3G20010.7,AT3G46450.3,AT2G40300.1,AT1G26540.1,AT2G16790.3,AT3G16940.1,AT4G23270.1
AT2G30670.1,AT1G14980.1,AT1G06310.1,AT1G79650.1,AT4G28790.1,AT4G02010.1,AT5G18930.1,AT5G59460.2
AT5G17890.1,AT5G23210.2,AT3G55730.1,AT5G42090.1,AT4G33300.1,AT1G79210.1,AT3G27330.1,AT1G32450.1
AT2G35990.1,AT5G09690.5,AT4G35300.1,AT1G77640.1,AT2G41430.2,AT1G24340.1,AT3G25640.1,AT4G15260.1
AT1G15900.1,AT1G03860.2,AT4G21065.1,AT4G17460.1,AT2G41430.4,AT2G39375.1,AT1G24460.1,AT5G08610.1
AT3G52200.1,AT2G38770.1,AT3G48820.1,AT5G03995.1,AT3G27475.2,AT1G72120.1,AT2G47310.1,AT1G55480.1
AT5G51750.1,AT1G80970.4,AT5G44050.1,AT5G02540.1,AT1G22330.1,AT4G37940.3,AT1G35510.1,AT1G36180.1
AT3G01040.2,AT4G26370.1,AT3G24320.1,AT3G20260.1,AT2G23980.8,AT2G43990.1,AT2G25850.4,AT2G48020.1
AT2G26410.2,AT1G19400.4,AT5G09995.1,AT1G09840.10,AT2G28080.1,AT2G19900.2,AT1G03150.1,AT3G27340.2
AT3G18410.2,AT1G75350.1,AT5G09410.4,AT4G30996.1,AT1G03250.1,AT1G50450.1,AT4G00440.2,AT1G22190.1
AT3G11730.1,AT2G23610.1,AT5G43500.2,AT4G32790.1,AT2G35710.3,AT5G15020.1,AT1G31120.1,AT4G27820.2
AT4G37080.3,AT5G02065.1,AT3G49490.1,AT1G53635.1,AT5G41620.1,AT1G75290.1,AT5G56250.1,AT5G14140.1
AT5G41960.1,AT5G22080.1,AT1G20620.6,AT1G35160.1,AT2G35000.1,AT3G52140.1,AT3G51940.2,AT1G21350.3
AT1G07890.5,AT1G64630.1,AT3G53930.3,AT3G59880.1,AT4G39640.1,AT5G15510.1,AT1G71270.1,AT4G21570.1
AT1G07890.3,AT2G20860.2,AT3G53930.1,AT1G10460.1,AT1G11940.2,AT3G17611.1,AT1G26690.1,AT1G05860.1
AT1G07890.8,AT5G64040.1,AT2G02870.2,AT2G33630.1,AT5G59410.1,AT5G21160.1,AT3G27300.2,AT4G38225.3
AT5G38110.1,AT3G07320.1,AT3G23210.1,AT1G33270.2,AT5G27740.1,AT2G01210.1,AT1G28230.1,AT2G40815.1
AT5G26240.2,AT3G61110.1,AT2G04845.1,AT4G23440.1,AT5G05760.1,AT5G14680.1,AT1G74040.1,AT5G52660.2
AT3G59310.1,AT3G12290.1,AT4G05320.3,AT4G19400.1,AT5G59850.1,AT3G16920.1,AT2G07665.1,AT5G52660.1
AT5G22010.1,AT3G46630.1,AT4G05320.1,AT3G58600.1,AT5G10520.2,AT2G35500.1,AT2G37340.2,AT1G32940.3
AT4G28360.1,AT5G49840.2,AT4G37190.1,AT2G33510.1,AT3G19930.2,AT3G04850.1,AT3G12130.2,AT4G38890.1
AT5G19330.2,AT1G02990.6,AT2G48000.1,AT2G35035.1,AT3G19930.1,AT5G04340.1,AT2G20900.3,AT4G17830.1
AT2G38490.1,AT1G76020.1,AT3G53000.1,AT5G06570.1,AT4G00955.1,AT1G54080.1,AT1G63300.1,AT3G05940.1
AT1G60810.1,AT4G24590.5,AT4G18670.1,AT4G21680.1,AT5G40440.3,AT3G25690.2,AT1G75770.1,AT5G08260.1
AT1G79250.3,AT4G24590.2,AT4G09550.2,AT1G51160.1,AT1G50670.3,AT5G58600.1,AT2G40095.2,AT2G33860.1
AT2G39780.1,AT1G33430.2,AT2G48090.1,AT1G52910.1,AT3G23050.3,AT1G31950.2,AT1G38065.2,AT4G37890.2
AT3G54000.2,AT5G40320.1,AT1G79500.2,AT3G29170.1,AT5G10900.2,AT2G43820.1,AT1G33640.1,AT2G02850.1
AT5G65290.1,AT4G39400.1,AT1G79500.1,AT3G09032.1,AT1G55775.1,AT3G05750.2,AT1G77930.3,AT5G03690.1
AT1G18270.4,AT2G34900.1,AT3G05090.1,AT4G31150.4,AT1G31860.3,AT5G22000.2,AT1G10380.1,AT5G47720.4
AT1G66780.1,AT4G32150.1,AT5G23460.1,AT5G66560.1,AT2G05755.1,AT4G34990.1,AT1G14350.1,AT5G35995.1
AT3G56640.1,AT4G33150.4,AT4G11090.1,AT4G02620.1,AT5G28400.1,AT5G07270.1,AT3G11250.1,AT2G29470.1
AT3G14070.1,AT5G65210.4,AT1G29120.2,AT4G36970.1,AT1G45248.4,AT2G18915.2,AT3G18820.1,AT1G78340.1
AT1G08340.1,AT5G51710.2,AT4G23010.3,AT1G76350.1,AT3G62920.1,AT3G19520.4,AT4G20870.1,AT1G32230.2
AT1G66530.1,AT1G03780.2,AT5G65140.1,AT5G54430.6,AT5G10410.1,AT1G67370.1,AT1G09390.1,AT1G32230.1
AT2G39500.1,AT1G24610.1,AT1G16445.1,AT3G12685.1,AT2G21600.1,AT5G23370.1,AT4G18780.1,AT1G32230.3
AT4G29260.1,AT5G22790.1,AT3G50930.1,AT2G21160.1,AT1G05150.1,AT3G04090.1,AT1G22940.1,AT1G22985.1
AT5G18390.1,AT2G13820.1,AT3G07890.1,AT1G43980.1,AT1G04290.2,AT1G30515.1,AT5G23150.3,AT3G10810.1
AT4G08690.3,AT3G06630.6,AT4G09500.2,AT5G16480.2,AT1G06130.2,AT1G66050.1,AT3G50290.1,AT4G18300.1
AT2G17730.1,AT1G68050.1,AT2G33180.1,AT1G75630.1,AT1G66700.1,AT5G60310.1,AT5G12350.1,AT5G25060.1
AT2G22500.1,AT5G60060.1,AT2G47060.5,AT2G39360.1,AT3G59080.1,AT5G58230.1,AT5G02230.2,AT2G26600.2
AT4G01760.1,AT4G14270.1,AT2G47060.1,AT1G48500.1,AT4G28310.1,AT1G48490.1,AT3G52820.1,AT5G57390.1
AT4G20300.2,AT4G28040.3,AT1G31710.1,AT1G48500.2,AT4G38830.1,AT3G10820.1,AT2G46810.3,AT5G11170.2
AT3G26400.1,AT5G37440.1,AT4G07400.1,AT4G14746.2,AT4G13890.2,AT3G19760.1,AT4G38150.2,AT4G16800.1
AT4G01290.2,AT3G10640.2,AT2G20650.1,AT3G49310.1,AT3G62090.3,AT4G32300.1,AT1G14690.1,AT1G23900.1
