Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Mock_HK,GO:0050801,ion homeostasis,18/299,343/20876,2.52721525168187e-6,7.691158415951825e-5,6.544157388565685e-5,AT5G01490/AT5G47450/AT4G25220/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT3G47220/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,18
Mock_HK,GO:0031669,cellular response to nutrient levels,17/299,312/20876,2.9149705543490857e-6,8.585058439099083e-5,7.304747942647284e-5,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT3G08860/AT2G14100/AT1G18970,17
Mock_HK,GO:0030003,cellular cation homeostasis,16/299,282/20876,3.4137868781453075e-6,9.73996068670833e-5,8.2874168291817e-5,AT5G01490/AT5G47450/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0055080,cation homeostasis,17/299,319/20876,3.9241046635060835e-6,1.0856689569033497e-4,9.237605236578914e-5,AT5G01490/AT5G47450/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT3G47220/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,17
Mock_HK,GO:0006873,cellular ion homeostasis,16/299,291/20876,5.097747570294836e-6,1.3688951563762308e-4,1.1647485160611731e-4,AT5G01490/AT5G47450/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0009267,cellular response to starvation,16/299,294/20876,5.805610380029509e-6,1.514434936276269e-4,1.2885835971313618e-4,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0055082,cellular chemical homeostasis,16/299,300/20876,7.490636677410051e-6,1.8997086906876045e-4,1.6164005461779583e-4,AT5G01490/AT5G47450/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0009991,response to extracellular stimulus,18/299,373/20876,8.070107482576766e-6,1.956325017553469e-4,1.6645735434996946e-4,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT1G66180/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT3G08860/AT2G14100/AT1G18970,18
Mock_HK,GO:0042594,response to starvation,16/299,302/20876,8.142426140967341e-6,1.956325017553469e-4,1.6645735434996946e-4,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0015824,proline transport,8/299,74/20876,1.0710791442438884e-5,2.5074237402427437e-4,2.1334855828663692e-4,AT2G43620/AT1G64380/AT4G22470/AT1G51800/AT4G02330/AT3G47380/AT1G10370/AT1G78360,8
Mock_HK,GO:0031668,cellular response to extracellular stimulus,17/299,349/20876,1.2783628435015948e-5,2.8888279314267905e-4,2.4580100459940877e-4,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT3G08860/AT2G14100/AT1G18970,17
Mock_HK,GO:0071496,cellular response to external stimulus,17/299,350/20876,1.3265033099391274e-5,2.8888279314267905e-4,2.4580100459940877e-4,AT5G01490/AT5G47450/AT4G19680/AT3G53420/AT3G62680/AT5G03545/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT5G17820/AT3G47040/AT4G30670/AT3G08860/AT2G14100/AT1G18970,17
Mock_HK,GO:0048878,chemical homeostasis,18/299,387/20876,1.3289241305577788e-5,2.8888279314267905e-4,2.4580100459940877e-4,AT5G01490/AT5G47450/AT4G25220/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT3G47220/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,18
Mock_HK,GO:0050832,defense response to fungus,17/299,351/20876,1.3762568372161193e-5,2.922145331112365e-4,2.4863587414088027e-4,AT2G19190/AT1G76970/AT5G39580/AT1G51800/AT5G09440/AT4G01700/AT2G39210/AT3G47380/AT5G64120/AT1G74710/AT2G40750/AT5G43580/AT4G16260/AT4G19230/AT1G61560/AT4G12480/AT1G01560,17
Mock_HK,GO:0015804,neutral amino acid transport,8/299,77/20876,1.4409256758126447e-5,2.9899207773112377e-4,2.544026671650076e-4,AT2G43620/AT1G64380/AT4G22470/AT1G51800/AT4G02330/AT3G47380/AT1G10370/AT1G78360,8
Mock_HK,GO:0019725,cellular homeostasis,16/299,317/20876,1.4879969742925688e-5,3.018980527842478e-4,2.56875267141033e-4,AT5G01490/AT5G47450/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,16
Mock_HK,GO:0009684,indoleacetic acid biosynthetic process,9/299,109/20876,2.7406190024082185e-5,5.43953293304066e-4,4.628322251206556e-4,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
Mock_HK,GO:0009683,indoleacetic acid metabolic process,9/299,110/20876,2.947867499249292e-5,5.726389418754476e-4,4.8723991364971495e-4,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
Mock_HK,GO:0034754,cellular hormone metabolic process,11/299,172/20876,3.963197530930878e-5,7.50440712585824e-4,6.385256769335773e-4,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT3G25730/AT4G14880/AT1G80360/AT2G30840,11
Mock_HK,GO:1901607,alpha-amino acid biosynthetic process,17/299,382/20876,4.0275569459699214e-5,7.50440712585824e-4,6.385256769335773e-4,AT1G30380/AT3G53420/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT3G56940/AT3G25900/AT5G23020/AT3G02020/AT1G74470/AT4G14880/AT2G33990/AT2G39800/AT1G31330/AT1G63970/AT4G08685,17
Mock_HK,GO:0019344,cysteine biosynthetic process,12/299,205/20876,4.2456163953921126e-5,7.752495537985999e-4,6.596347157472378e-4,AT1G30380/AT3G53420/AT5G23010/AT3G19710/AT4G13770/AT3G56940/AT5G23020/AT1G74470/AT4G14880/AT1G31330/AT1G63970/AT4G08685,12
Mock_HK,GO:0006534,cysteine metabolic process,12/299,207/20876,4.665995325877609e-5,8.35304653436521e-4,7.107336533534933e-4,AT1G30380/AT3G53420/AT5G23010/AT3G19710/AT4G13770/AT3G56940/AT5G23020/AT1G74470/AT4G14880/AT1G31330/AT1G63970/AT4G08685,12
Mock_HK,GO:0042592,homeostatic process,19/299,468/20876,4.9767768961402636e-5,8.600274142077132e-4,7.317694491096933e-4,AT5G01490/AT5G47450/AT4G25220/AT4G19680/AT1G30380/AT3G53420/AT1G12740/AT4G02270/AT4G26010/AT5G60660/AT5G53250/AT4G05180/AT3G47220/AT1G47570/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,19
Mock_HK,GO:1901657,glycosyl compound metabolic process,13/299,242/20876,4.992492108763286e-5,8.600274142077132e-4,7.317694491096933e-4,AT2G04160/AT1G47600/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420/AT5G08380/AT2G19570,13
Mock_HK,GO:0009070,serine family amino acid biosynthetic process,12/299,209/20876,5.121950701768504e-5,8.659890723545637e-4,7.368420307807322e-4,AT1G30380/AT3G53420/AT5G23010/AT3G19710/AT4G13770/AT3G56940/AT5G23020/AT1G74470/AT4G14880/AT1G31330/AT1G63970/AT4G08685,12
Mock_HK,GO:0044272,sulfur compound biosynthetic process,19/299,479/20876,6.777187749663717e-5,0.0011250131664441772,9.572372362204447e-4,AT2G04160/AT1G30380/AT3G53420/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT3G56940/AT3G25900/AT5G23020/AT1G16400/AT1G74470/AT4G14880/AT2G31790/AT1G31420/AT2G33990/AT1G31330/AT1G63970/AT4G08685,19
Mock_HK,GO:0009851,auxin biosynthetic process,9/299,124/20876,7.567285814604274e-5,0.001233737847988161,0.0010497475434545027,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
