SampleID	genotype	SynCom	compartment	flg22 	biological replicate	technical replicate
pwer155	Col-0	NS+S	root	TRUE	c	2
pwer156	Col-0	NS+S	root	TRUE	c	3
pwer157	Col-0	NS	agar_plant	FALSE	c	1
pwer158	Col-0	NS	agar_plant	TRUE	c	1
pwer159	Col-0	S	agar_plant	FALSE	c	1
pwer160	Col-0	S	agar_plant	TRUE	c	1
pwer161	Col-0	NS+S	agar_plant	FALSE	c	1
pwer162	Col-0	NS+S	agar_plant	TRUE	c	1
pwer163	unplanted	NS	agar	FALSE	c	1
pwer164	unplanted	NS	agar	TRUE	c	1
pwer165	unplanted	S	agar	FALSE	c	1
pwer166	unplanted	S	agar	TRUE	c	1
pwer167	unplanted	NS+S	agar	FALSE	c	1
pwer168	unplanted	NS+S	agar	TRUE	c	1
pwer169	culture	NS	input	1	c	1
pwer170	culture	S	input	1	c	1
pwer171	culture	NS+S	input	1	c	1
pwer172	1293	single	input	1	a	1
pwer173	482	single	input	1	a	1
pwer174	50	single	input	1	a	1
pwer175	568	single	input	1	a	1
pwer176	71	single	input	1	a	1
pwer177	227	single	input	1	a	1
pwer178	268	single	input	1	a	1
pwer179	241	single	input	1	a	1
pwer180	267	single	input	1	a	1
pwer181	329	single	input	1	a	1
