Gene,logFC,Fold,logCPM,LR,PValue,FDR
AT2G46150,-0.087912167,-1.062830966,3.178387928,0.343400996,0.55787265,0.763396057
AT5G03210,-0.087910639,-1.06282984,0.159896278,0.023550924,0.878033085,0.945998275
AT4G37250,-0.087908423,-1.062828208,6.342530584,0.531376996,0.466028517,0.694328797
AT5G50840,-0.087860881,-1.062793185,4.65991225,0.69127548,0.405730881,0.64353542
AT4G02990,-0.087812608,-1.062757623,3.50980177,0.482325834,0.487370694,0.71290566
AT3G03420,-0.087783099,-1.062735886,4.552038074,0.748658091,0.38690142,0.62642971
AT3G07410,-0.08777053,-1.062726628,4.512326286,0.774686496,0.37877114,0.619485385
AT5G04920,-0.087766279,-1.062723496,5.843212503,1.746319763,0.186340059,0.406080503
AT1G79920,-0.087727529,-1.062694952,7.915660782,1.506872226,0.219616978,0.449292063
AT1G66330,-0.087690329,-1.062667551,4.857662563,0.916266381,0.338457212,0.579407527
AT1G14400,-0.087672711,-1.062654573,7.823859811,2.597694757,0.107019277,0.287164089
AT4G23770,-0.087668347,-1.062651359,0.136184345,0.032247237,0.85748611,0.935252454
AT5G63550,-0.087639608,-1.062630191,4.942189562,1.078827574,0.298959984,0.538117215
AT2G04900,-0.087619795,-1.062615598,5.941039907,1.016694016,0.313304483,0.553335921
AT1G06640,-0.08761273,-1.062610394,8.601114501,1.357988293,0.243886432,0.478824221
AT3G62810,-0.087585199,-1.062590116,5.174096893,0.698460916,0.403301332,0.641104636
AT1G04180,-0.087566948,-1.062576674,2.514076832,0.126999481,0.721563594,0.863559724
AT3G49320,-0.087562853,-1.062573658,2.768447718,0.2592657,0.610625078,0.797274682
AT1G78960,-0.087540148,-1.062556936,4.422607273,0.5182721,0.471579687,0.699314761
AT4G11820,-0.087537056,-1.062554658,7.159946222,1.182874857,0.276771508,0.513650726
AT5G60600,-0.087468599,-1.06250424,5.564875907,1.249592235,0.263630372,0.500497028
AT5G37360,-0.087374123,-1.062434664,3.131302287,0.450531614,0.502082608,0.723337696
AT1G10930,-0.087346704,-1.062414472,4.562272203,0.655905229,0.418009284,0.653674298
