Gene,logFC,Fold,logCPM,LR,PValue,FDR
AT3G11800,-0.010883106,-1.007572119,6.320014563,0.018810373,0.890911509,0.951992798
AT1G77310,-0.010878591,-1.007568965,3.218676455,0.004303102,0.947697854,0.978048035
AT2G34560,-0.010824952,-1.007531505,7.301368893,0.04095243,0.839629772,0.926073137
AT2G25760,-0.010719627,-1.007457952,6.298007943,0.026863218,0.869809849,0.941968434
AT2G32600,-0.010707249,-1.007449308,5.395951078,0.020995337,0.884791659,0.949499548
AT4G12980,-0.010701147,-1.007445047,4.004736206,0.008150039,0.928066647,0.970207437
AT3G25910,-0.010694904,-1.007440688,6.561768257,0.016123482,0.898957596,0.956160266
AT1G75700,-0.010663031,-1.007418431,1.916735229,0.001710536,0.967009999,0.986313266
AT2G32410,-0.010528631,-1.007324585,3.670349123,0.005634565,0.940163999,0.97528426
AT3G06483,-0.010482829,-1.007292606,4.141070408,0.008157545,0.928033618,0.970207437
AT3G60410,-0.010441466,-1.007263727,5.351181899,0.020332761,0.886611634,0.950063688
AT4G23250,-0.010437693,-1.007261092,1.072255038,0.000797578,0.977469598,0.990030362
AT1G11670,-0.010434136,-1.007258609,6.455604164,0.014965742,0.90263407,0.957567165
AT5G44770,-0.010406819,-1.007239537,1.289900141,0.001391338,0.970245297,0.987407188
AT3G56450,-0.010400313,-1.007234994,3.435586923,0.004317099,0.94761298,0.978041935
AT2G17820,-0.010390419,-1.007228087,6.467014662,0.0131774,0.908609311,0.960594301
AT3G05545,-0.010369171,-1.007213253,6.691020707,0.033822487,0.854084915,0.933729664
AT5G07080,-0.010366777,-1.007211581,5.9740683,0.003359469,0.953779756,0.980115277
AT4G32860,-0.010359752,-1.007206677,4.187097043,0.006707125,0.934728591,0.972942295
AT1G45160,-0.010329915,-1.007185847,6.24081793,0.020826187,0.885253464,0.949499548
AT2G45040,-0.010297969,-1.007163545,1.781445748,0.00155523,0.968542458,0.986736836
AT2G38970,-0.010247694,-1.007128448,5.342445166,0.00720663,0.932347354,0.971828493
AT1G15500,-0.010198946,-1.007094418,7.957672251,0.03537921,0.850803262,0.93184779
AT4G36420,-0.010181247,-1.007082062,5.328619419,0.012163741,0.912179902,0.962132951
AT5G22880,-0.010175789,-1.007078252,6.081838071,0.014058376,0.905617602,0.958748317
AT4G26720,-0.010174408,-1.007077289,4.962931328,0.011785245,0.913551592,0.962615547
AT3G28690,-0.0101614,-1.007068208,6.69706057,0.023191982,0.87895889,0.946498348
AT1G67510,-0.010161112,-1.007068008,3.964874505,0.007413947,0.931383522,0.971721473
AT5G57670,-0.010149782,-1.007060099,1.289749166,0.000887394,0.976235205,0.989750095
AT2G29995,-0.010141002,-1.00705397,5.280694378,0.003524096,0.952662107,0.979886621
AT3G55020,-0.010130697,-1.007046777,7.198258071,0.034558994,0.852522795,0.932736656
AT3G15430,-0.010122357,-1.007040955,6.014071591,0.02461794,0.875322832,0.945125742
AT5G06390,-0.010117921,-1.007037858,6.41151074,0.020822959,0.885262296,0.949499548
AT1G53230,-0.010094021,-1.007021176,3.700122086,0.004366082,0.947317053,0.977961833
AT1G75140,-0.010086344,-1.007015817,4.515381379,0.010500135,0.918383493,0.965358393
AT3G01640,-0.010069674,-1.007004181,4.738309421,0.015183898,0.901930545,0.957412574
AT4G24550,-0.010059171,-1.006996851,6.396931422,0.027944904,0.867238419,0.940569047
AT5G33320,-0.009992009,-1.006949973,7.724585425,0.017026015,0.89618369,0.954720682
AT2G03505,-0.009991088,-1.00694933,3.395496505,0.004858059,0.944432619,0.976743441
AT4G12040,-0.009985675,-1.006945551,6.366624669,0.020126702,0.887183791,0.95030458
AT5G37130,-0.009980032,-1.006941613,5.86773763,0.024974932,0.874429541,0.944517945
AT4G26430,-0.009894873,-1.006882177,3.831066158,0.008179732,0.927936087,0.970207437
AT1G79280,-0.009888802,-1.00687794,7.667377322,0.027252621,0.86887812,0.941265032
AT4G09320,-0.009822849,-1.006831912,8.122941598,0.016321223,0.898343225,0.955924343
AT5G11600,-0.009815503,-1.006826785,4.228151117,0.009032358,0.924284072,0.968251334
AT5G39980,-0.009812678,-1.006824814,2.411893833,0.002146821,0.963044199,0.984543576
AT4G10840,-0.009799199,-1.006815407,7.676499678,0.01041533,0.918712604,0.965358393
AT5G18110,-0.009782088,-1.006803466,6.580328081,0.021736371,0.882790577,0.948888443
AT1G69280,-0.009748184,-1.006779806,2.394712252,0.001633922,0.967756853,0.986639674
AT5G42620,-0.009738833,-1.00677328,6.600978788,0.019311316,0.889477679,0.951171706
AT5G02840,-0.009709852,-1.006753056,6.565615209,0.010242242,0.919388552,0.965411045
AT3G53940,-0.009582831,-1.006664421,3.379796196,0.005742883,0.939592688,0.974912059
AT5G60430,-0.009561886,-1.006649807,2.587739018,0.002708812,0.958491843,0.982788317
AT1G13180,-0.009493219,-1.006601895,4.401617764,0.011199436,0.915719307,0.963801795
AT1G30470,-0.009401343,-1.006537793,6.518974677,0.023656971,0.877760946,0.945819086
AT5G23630,-0.009396793,-1.006534619,7.297753677,0.021078208,0.884566104,0.949433553
AT2G41980,-0.009394436,-1.006532974,3.659745119,0.007377732,0.931550899,0.971721473
AT2G30840,-0.009380433,-1.006523205,4.746921908,0.006300529,0.936733661,0.973864306
AT1G14630,-0.009349893,-1.006501898,3.866796587,0.003491204,0.952883281,0.979909863
AT3G29160,-0.009349671,-1.006501743,6.088300511,0.016980927,0.896320468,0.954815565
AT1G13640,-0.009308178,-1.006472796,6.478955758,0.016074065,0.899111727,0.956160266
AT4G02880,-0.00928769,-1.006458503,4.920543351,0.011386877,0.915019595,0.963401491
AT2G29080,-0.009256222,-1.006436551,6.998681522,0.016899096,0.896569178,0.954928011
AT2G32070,-0.009252459,-1.006433925,5.708069893,0.014114678,0.905429679,0.958701521
AT5G05310,-0.009249148,-1.006431616,4.507290378,0.007668185,0.9302199,0.971027106
AT2G20760,-0.009237385,-1.006423409,7.74917996,0.020066552,0.887351369,0.95037065
AT3G16720,-0.009233274,-1.006420542,3.822276562,0.004520453,0.946395169,0.977610956
AT2G28510,-0.009175759,-1.00638042,5.45095616,0.009877107,0.920833675,0.966389193
AT2G22540,-0.009151756,-1.006363676,5.327839027,0.009167446,0.923721687,0.968081613
AT1G77180,-0.00912522,-1.006345166,7.754390234,0.022265347,0.881383375,0.948276855
AT1G53040,-0.00911115,-1.006335352,5.417703884,0.014264614,0.904931082,0.958662044
AT4G05190,-0.009107648,-1.006332909,5.340613616,0.009576897,0.922042176,0.967334628
AT1G12120,-0.009100869,-1.00632818,6.15555546,0.018872632,0.890732257,0.951902911
AT2G45770,-0.009050671,-1.006293166,3.616281008,0.005858681,0.938987885,0.974818443
AT4G00200,-0.009020941,-1.00627243,3.88477321,0.004899949,0.944193947,0.976737698
AT3G15290,-0.008995573,-1.006254736,4.848014561,0.01067878,0.917694571,0.964898006
AT4G02570,-0.008938124,-1.006214667,8.290491563,0.039263094,0.842928355,0.927498865
AT4G27540,-0.008918496,-1.006200977,3.524332154,0.00409023,0.949006133,0.978842941
AT1G76120,-0.00890925,-1.006194529,3.435356089,0.003776216,0.951000096,0.979456175
AT1G14270,-0.008907778,-1.006193502,2.448351743,0.002018501,0.964164913,0.984884295
AT4G37830,-0.008891558,-1.00618219,7.653997917,0.012672815,0.910368619,0.961435762
AT3G12480,-0.008868952,-1.006166424,5.428840913,0.012175825,0.912136466,0.962132951
AT4G33470,-0.008803185,-1.006120557,2.068578991,0.001591963,0.968173318,0.986736836
AT1G11480,-0.00877374,-1.006100023,7.234568978,0.022592828,0.880520748,0.947619317
AT3G47060,-0.008759069,-1.006089792,5.250279966,0.010195446,0.91957229,0.965553317
AT1G43190,-0.008756512,-1.006088009,6.312765758,0.021336696,0.883865449,0.949278987
AT3G32047,-0.008752611,-1.006085288,1.391133662,0.000977132,0.975062898,0.989433874
AT4G18140,-0.00874743,-1.006081675,4.936544357,0.005828622,0.9391443,0.974851171
AT3G06770,-0.008744706,-1.006079776,3.854363592,0.004567244,0.946118873,0.977527538
AT5G56450,-0.008686658,-1.006039296,2.633348179,0.003126036,0.955412734,0.981001521
AT1G04700,-0.00866487,-1.006024102,3.666210008,0.003608728,0.952097743,0.979809731
AT4G22000,-0.008664822,-1.006024069,4.889413807,0.008466332,0.92668797,0.969565517
AT5G66600,-0.008642441,-1.006008462,4.389265213,0.006479203,0.935844769,0.973414552
AT3G15190,-0.008552489,-1.00594574,4.443439998,0.005343699,0.941726055,0.975850462
AT5G42090,-0.008527915,-1.005928605,7.402799798,0.021602609,0.88314918,0.948968072
AT5G63040,-0.008456331,-1.005878694,3.346281918,0.003347229,0.953863938,0.980115277
AT5G51600,-0.008403872,-1.005842119,4.508198844,0.004597697,0.945939811,0.97744346
AT2G43180,-0.008365708,-1.005815512,2.867079037,0.002621881,0.959162721,0.982996491
AT4G10930,-0.008348534,-1.005803539,5.246246195,0.010275918,0.91925659,0.965402971
AT5G19350,-0.008322614,-1.005785468,5.800929944,0.017099742,0.895960435,0.9545805
AT1G28250,-0.008315005,-1.005780164,4.428136513,0.006272844,0.936872521,0.973939886
AT3G18420,-0.008289632,-1.005762475,4.129304698,0.003797544,0.950862092,0.979394317
AT1G29410,-0.008288224,-1.005761493,2.639361068,0.001754545,0.966588552,0.986287969
AT3G59320,-0.00826473,-1.005745114,5.348831518,0.005195284,0.94253958,0.976164325
AT5G39680,-0.008225082,-1.005717475,0.990689726,0.000632075,0.979942418,0.99123976
AT3G57520,-0.008164401,-1.005675175,8.597425748,0.001735904,0.966766407,0.986287969
AT5G61060,-0.008148284,-1.00566394,6.025457087,0.015853767,0.899801788,0.956487485
AT1G53520,-0.008146803,-1.005662907,2.944763635,0.002214592,0.96246584,0.984354725
AT4G30160,-0.008139758,-1.005657996,7.309721581,0.01414713,0.905321536,0.958662044
AT1G74770,-0.008121296,-1.005645128,7.78946065,0.003877526,0.950347988,0.979368862
AT1G62640,-0.008083298,-1.005618641,6.190775579,0.012518215,0.910914725,0.961659922
AT1G53590,-0.008056735,-1.005600126,6.089764279,0.013383867,0.907899292,0.960276963
AT5G35995,-0.007967297,-1.005537787,4.466063985,0.005995558,0.938280692,0.974561333
AT3G15610,-0.0079612,-1.005533537,5.801559265,0.016314375,0.898364437,0.955924343
AT3G19860,-0.007954809,-1.005529083,5.423115176,0.005084048,0.943156995,0.976185731
AT2G38810,-0.007933035,-1.005513907,4.162831225,0.00454557,0.946246679,0.977609114
AT2G42170,-0.007902363,-1.00549253,0.601529467,0.000408244,0.983879806,0.993360713
AT1G67500,-0.007898473,-1.005489818,5.684249676,0.011064999,0.916224807,0.963960404
AT5G25360,-0.007880435,-1.005477247,5.040649661,0.008089695,0.928332722,0.970271815
AT4G21800,-0.007876638,-1.0054746,4.631336295,0.007488089,0.931042131,0.971631994
AT3G13670,-0.007758412,-1.005392207,6.881160969,0.013273521,0.908278063,0.960438662
AT2G32250,-0.007705761,-1.005355516,5.133384324,0.009409557,0.922724114,0.967754037
AT2G31900,-0.007678592,-1.005336584,6.005870633,0.005757116,0.939518019,0.974912059
AT3G50860,-0.007625969,-1.005299914,3.417182446,0.003467691,0.953042027,0.979909863
AT2G11520,-0.007618652,-1.005294815,5.139083439,0.008602927,0.926100614,0.969305726
AT2G21060,-0.007612472,-1.005290509,5.024791766,0.007492197,0.931023265,0.971631994
AT3G19220,-0.007575544,-1.005264777,3.060682378,0.003364547,0.95374487,0.980115277
AT1G12130,-0.007540293,-1.005240215,0.169469957,0.000118687,0.991307715,0.996486337
AT3G23640,-0.007519998,-1.005226074,6.884187496,0.014403913,0.904470233,0.958662044
AT1G78260,-0.007517585,-1.005224393,4.690476548,0.002642075,0.959005895,0.98297613
AT2G42520,-0.007488261,-1.005203961,5.472338923,0.007102224,0.932838034,0.972086791
AT5G10150,-0.007464977,-1.005187738,1.17760316,0.000652567,0.979619941,0.99123976
AT2G01440,-0.007440952,-1.005170998,5.330831733,0.006819534,0.934185133,0.972633524
AT5G06450,-0.007429494,-1.005163015,4.43549387,0.005059237,0.943295635,0.976185731
AT4G25960,-0.007370043,-1.005121596,2.377049774,0.000807136,0.977335041,0.990030362
AT1G10330,-0.007358387,-1.005113475,1.58143564,0.000719474,0.978600896,0.990479523
AT2G44670,-0.007347712,-1.005106037,6.109487745,0.005066073,0.943257401,0.976185731
AT1G02145,-0.007333979,-1.00509647,5.02355901,0.00737471,0.931564884,0.971721473
AT3G57980,-0.007325023,-1.005090231,4.537125814,0.005749394,0.939558516,0.974912059
AT1G62320,-0.007277761,-1.005057305,3.637282401,0.002290085,0.961831936,0.984056751
AT1G07725,-0.007253196,-1.005040192,4.787825925,0.004502326,0.946502591,0.977610956
AT3G27320,-0.007241618,-1.005032126,5.031946367,0.006529478,0.935596884,0.973390425
AT2G01735,-0.007231579,-1.005025132,5.019699196,0.007150153,0.93261233,0.971923248
AT3G21465,-0.007169482,-1.004981875,4.517694367,0.00374696,0.951190039,0.97946177
AT3G52730,-0.007166067,-1.004979496,6.813938168,0.006818744,0.934188935,0.972633524
AT5G51180,-0.007155417,-1.004972077,4.734534423,0.007216876,0.932299394,0.971828493
AT3G04860,-0.007126747,-1.004952106,2.361391801,0.001156989,0.972865559,0.988594195
AT4G15680,-0.007124411,-1.004950479,1.014619753,0.000470149,0.982700891,0.992571051
AT4G34040,-0.007108055,-1.004939085,5.744326308,0.011293895,0.91536596,0.96357194
AT4G32060,-0.00709678,-1.004931232,7.395506945,0.007052418,0.933073385,0.97212956
AT5G67460,-0.007057443,-1.004903831,3.966310883,0.002534778,0.959846209,0.983312647
AT1G20575,-0.00704695,-1.004896522,4.767811549,0.005321169,0.941848815,0.975850462
AT1G67690,-0.00703137,-1.004885671,3.643822778,0.003308863,0.954128813,0.980337105
AT1G04930,-0.00700001,-1.004863828,2.820705118,0.002069873,0.963712081,0.984782093
AT5G05190,-0.006977057,-1.00484784,4.145332834,0.002728458,0.958341728,0.982748381
AT5G64500,-0.006976075,-1.004847156,6.313846198,0.014290507,0.904845247,0.958662044
AT4G00165,-0.006956321,-1.004833398,0.188506767,0.000270733,0.986872223,0.994625651
AT5G62420,-0.006917623,-1.004806445,4.15389769,0.001320165,0.971015985,0.987698074
AT1G24300,-0.006904222,-1.004797111,6.394285757,0.008009984,0.928685733,0.970433223
AT4G27740,-0.006893143,-1.004789395,3.54062637,0.001374192,0.970429117,0.987470435
AT5G03620,-0.006835962,-1.004749572,-0.061797502,3.40E-05,0.995350933,0.998194081
AT5G14260,-0.006796346,-1.004721981,5.368318472,0.006798796,0.934285049,0.972682989
AT4G10070,-0.006768095,-1.004702307,5.187506226,0.00449603,0.946539957,0.977610956
AT2G18770,-0.00674205,-1.004684169,4.473401252,0.005314878,0.94188314,0.975850462
AT1G15530,-0.006736422,-1.00468025,4.071241235,0.003092011,0.955655799,0.981192959
AT1G74200,-0.006730799,-1.004676334,1.956274129,0.000651988,0.979628991,0.99123976
AT5G57460,-0.006727383,-1.004673956,5.969761527,0.008748338,0.925480492,0.969112846
AT4G12060,-0.006725187,-1.004672427,4.314880298,0.004834684,0.94456625,0.976780684
AT5G58380,-0.00671731,-1.004666941,5.479365594,0.007249661,0.932146163,0.97177063
AT4G03965,-0.006697723,-1.004653301,0.542752627,0.000193827,0.988892072,0.995558313
AT5G10330,-0.00667171,-1.004635186,3.338212866,0.002668296,0.958803156,0.98293872
AT5G08690,-0.006667365,-1.004632161,9.321234907,0.008755773,0.925448923,0.969112846
AT1G78110,-0.006621162,-1.004599988,4.283611239,0.003025639,0.956133838,0.981339131
AT2G05990,-0.00660995,-1.00459218,7.312632976,0.009232282,0.923453253,0.967952362
AT4G25300,-0.006605447,-1.004589044,2.542798839,0.001479351,0.96931906,0.98693756
AT1G35340,-0.006597504,-1.004583514,3.621760143,0.002523575,0.959934962,0.983312647
AT5G49660,-0.006593504,-1.004580728,6.584067558,0.006006796,0.938222989,0.97455198
AT3G46530,-0.006561907,-1.004558727,1.97939097,0.000842647,0.976841952,0.989888203
AT1G43900,-0.006545938,-1.004547608,4.963708353,0.006977582,0.933428596,0.972347772
AT2G20330,-0.006521089,-1.004530306,5.839438156,0.012122277,0.912329107,0.962132951
AT3G28030,-0.006496814,-1.004513403,5.00031108,0.006198112,0.937248904,0.974045755
AT3G20640,-0.006487605,-1.004506991,4.283915624,0.003463082,0.95307321,0.979909863
AT3G49530,-0.00648061,-1.004502121,5.286208262,0.004256369,0.947982233,0.978092428
AT3G25013,-0.006469162,-1.00449415,1.948815667,0.000841848,0.976852929,0.989888203
AT3G59630,-0.006461336,-1.004488701,4.060480609,0.002845295,0.957459966,0.982288515
AT5G48460,-0.006457597,-1.004486097,4.431273644,0.003282004,0.954315161,0.980353511
AT3G49500,-0.006449064,-1.004480157,5.775306642,0.009089428,0.924045968,0.968171971
AT5G57110,-0.006439573,-1.004473548,7.772150919,0.006763762,0.9344542,0.972781625
AT5G19910,-0.006438697,-1.004472939,3.93960815,0.003034281,0.956071297,0.981339131
AT5G62865,-0.006419385,-1.004459493,4.335146007,0.003896341,0.95022783,0.979347792
AT3G01430,-0.006401341,-1.00444693,2.952445745,0.001655757,0.967542241,0.986511163
AT4G31410,-0.006392252,-1.004440602,5.202995851,0.005107689,0.943025214,0.976185731
AT1G80040,-0.00635373,-1.004413782,6.361471885,0.012535975,0.910851819,0.961658973
AT1G12750,-0.006297715,-1.004374785,4.842799996,0.002339079,0.961426127,0.983908301
AT1G77850,-0.006286638,-1.004367073,4.205097661,0.002610157,0.959254048,0.983029087
AT1G18620,-0.006277027,-1.004360382,4.757701503,0.003802425,0.950830565,0.979394317
AT5G48800,-0.006259145,-1.004347934,5.637681424,0.004958954,0.943859497,0.976604946
AT1G08030,-0.00623901,-1.004333916,5.099271898,0.005304992,0.941937121,0.975850462
AT2G29690,-0.006232752,-1.00432956,4.887836461,0.004365359,0.947321406,0.977961833
AT1G47570,-0.006231069,-1.004328388,4.739969479,0.003978603,0.94970585,0.97917613
AT4G14640,-0.006168019,-1.004284497,2.539473001,0.0007799,0.977720615,0.990030362
AT5G67190,-0.006152578,-1.004273748,3.834761622,0.001082811,0.973749475,0.989104309
AT1G22450,-0.006150269,-1.004272142,7.239267065,0.008639802,0.925942858,0.969241996
AT2G31170,-0.006096316,-1.004234585,3.801713378,0.002531178,0.959874708,0.983312647
AT2G35610,-0.006046871,-1.004200168,7.257823396,0.008474919,0.926650907,0.969565517
AT3G43740,-0.006038062,-1.004194036,4.689379915,0.005005648,0.943596243,0.976383041
AT1G73020,-0.00602376,-1.004184081,4.151057477,0.001733667,0.966787819,0.986287969
AT1G06780,-0.005981133,-1.004154411,6.073292193,0.008094258,0.928312567,0.970271815
AT1G17370,-0.00597013,-1.004146753,6.441507808,0.01184204,0.913344359,0.962555184
AT3G53510,-0.005968457,-1.004145588,5.492714433,0.003888385,0.950278604,0.979347792
AT5G17070,-0.005961102,-1.004140469,4.404037483,0.004320874,0.947590116,0.978041935
AT1G28530,-0.005940915,-1.004126419,2.974429492,0.001443159,0.969696508,0.987080417
AT3G63370,-0.005920814,-1.004112429,2.365814835,0.000859499,0.976611592,0.989767608
AT3G01340,-0.005895952,-1.004095125,6.009041051,0.007277099,0.93201819,0.971735227
AT1G63970,-0.005844547,-1.004059348,3.711917868,0.002347772,0.96135457,0.983908301
AT4G33495,-0.005825601,-1.004046163,3.236443798,0.00147708,0.969342615,0.98693756
AT3G02260,-0.005823377,-1.004044614,9.291462402,0.006544393,0.93552353,0.973364712
AT4G02260,-0.005809804,-1.004035168,4.67672312,0.003367371,0.953725487,0.980115277
AT1G54960,-0.0058021,-1.004029807,3.435013885,0.001735871,0.966766727,0.986287969
AT3G58800,-0.005795696,-1.00402535,2.824468458,0.001123937,0.973255796,0.988820379
AT5G41870,-0.005771277,-1.004008356,3.579478766,0.001845659,0.965732518,0.985982304
AT1G13210,-0.005770894,-1.00400809,5.797074439,0.002835301,0.957534672,0.982288515
AT3G56110,-0.005770603,-1.004007888,5.41717354,0.004293373,0.947756927,0.978058561
AT5G04460,-0.00572903,-1.003978956,5.748357614,0.005603897,0.940326753,0.975338511
AT4G15880,-0.005665483,-1.003934734,5.0816864,0.004882905,0.944290933,0.976737698
AT3G27550,-0.005613325,-1.00389844,3.380988083,0.001306946,0.971161393,0.987704667
AT1G27540,-0.005562985,-1.003863411,3.688515018,0.00170207,0.96709169,0.986313266
AT3G60210,-0.005554789,-1.003857708,4.792537757,0.00270409,0.958528002,0.982788317
AT5G11340,-0.005552741,-1.003856283,5.063286347,0.003133569,0.955359104,0.980996788
AT5G65600,-0.005551782,-1.003855616,1.441152477,0.000361035,0.984840368,0.993578617
AT1G50380,-0.005547803,-1.003852848,5.538463089,0.004713462,0.945264509,0.977149303
AT1G75860,-0.005540363,-1.00384767,4.491246406,0.002105729,0.963399344,0.984705433
AT3G61320,-0.005538067,-1.003846073,3.127726845,0.001579991,0.968293151,0.986736836
AT1G34150,-0.005522565,-1.003835287,4.41800764,0.002536082,0.959835891,0.983312647
AT2G25180,-0.005504991,-1.003823058,5.962190256,0.005190603,0.94256543,0.976164325
AT1G03870,-0.005501382,-1.003820547,7.471662809,0.001513352,0.968968657,0.98687522
AT4G35780,-0.005480621,-1.003806102,5.755796794,0.005174725,0.942653187,0.976164325
AT5G06400,-0.005455532,-1.003788645,1.39822571,0.000362879,0.984801701,0.993578617
AT3G14960,-0.005445254,-1.003781494,4.506035709,0.002764143,0.958070443,0.982621244
AT3G51510,-0.005442825,-1.003779805,1.797009446,0.000476601,0.982582608,0.992517316
AT1G67340,-0.005370735,-1.003729648,5.042604364,0.002337823,0.961436476,0.983908301
AT4G21520,-0.005309805,-1.003687258,3.419418109,0.001819549,0.965975621,0.98609642
AT1G17630,-0.005281485,-1.003667556,1.756023734,0.000399071,0.984061907,0.993413425
AT1G56423,-0.005274167,-1.003662465,4.278011022,0.001730258,0.966820463,0.986287969
AT5G55480,-0.005259623,-1.003652347,6.780178565,0.004178449,0.948459899,0.978481261
AT5G55930,-0.005253033,-1.003647762,0.407215597,0.000131117,0.990863929,0.996340516
AT3G61620,-0.005232743,-1.003633647,4.329491443,0.002632746,0.959078269,0.982996491
AT3G07160,-0.005221639,-1.003625922,8.147412393,0.005413122,0.941349423,0.975824121
AT5G40510,-0.00517486,-1.003593381,5.73632855,0.002676513,0.958739827,0.98293872
AT3G06010,-0.005108265,-1.003547055,5.963413577,0.005238432,0.942301879,0.976058947
AT5G62570,-0.005079654,-1.003527154,5.553507544,0.003264257,0.954438709,0.980353511
AT2G47390,-0.005075456,-1.003524234,7.498735399,0.005423589,0.941292849,0.975824121
AT2G13690,-0.005066736,-1.003518168,3.651786338,0.001306117,0.971170534,0.987704667
AT5G65010,-0.005050382,-1.003506793,6.028171586,0.004786222,0.944844332,0.977017764
AT1G68710,-0.005048658,-1.003505594,5.332062667,0.002557859,0.959663959,0.983312647
AT3G28850,-0.005015512,-1.003482538,3.217438609,0.000938903,0.975555433,0.98961951
AT4G16310,-0.00500723,-1.003476777,5.709764946,0.005659558,0.940031687,0.975254739
AT5G62030,-0.005001965,-1.003473115,4.118869055,0.002458511,0.960454395,0.983654726
AT5G19570,-0.004935258,-1.003426718,3.636674089,0.001563838,0.968455569,0.986736836
AT2G25800,-0.004912143,-1.003410641,6.142992758,0.006437392,0.936051658,0.973414552
AT4G30830,-0.004859177,-1.003373803,1.769576474,0.000366184,0.984732669,0.99357014
AT2G28350,-0.004808431,-1.003338511,5.430881032,0.00240932,0.960851694,0.98380988
AT1G62020,-0.004722233,-1.003278565,7.629067741,0.003858111,0.950472292,0.979394317
AT2G22640,-0.00470905,-1.003269398,3.463699559,0.001056997,0.974064147,0.98914708
AT4G38320,-0.004702954,-1.003265159,3.174719562,0.001157412,0.972860603,0.988594195
AT5G13390,-0.004701073,-1.003263851,6.767883431,0.004161613,0.948563694,0.978487456
AT5G65960,-0.004670106,-1.003242315,5.765802087,0.006442233,0.93602767,0.973414552
AT2G40550,-0.004591678,-1.003187779,4.212204069,0.001076526,0.973825737,0.989104309
AT2G46915,-0.004590681,-1.003187085,4.959660995,0.002778922,0.957958605,0.982557147
AT2G44790,-0.004586042,-1.00318386,8.864544655,0.002179659,0.962762834,0.984494757
AT5G03250,-0.004553481,-1.003161219,2.205423968,0.000489555,0.98234753,0.992414497
AT1G62730,-0.004540396,-1.00315212,3.427736806,0.001151869,0.972925632,0.988594195
AT5G27100,-0.004535829,-1.003148945,4.575031447,0.001473419,0.969380606,0.98693756
AT3G06240,-0.004526882,-1.003142723,4.146301296,0.001738324,0.966743266,0.986287969
AT2G47950,-0.004517266,-1.003136038,1.422001434,0.000136303,0.99068499,0.996340516
AT2G34730,-0.004470932,-1.003103821,5.373236356,0.003565473,0.952385347,0.979825813
AT2G34380,-0.004463798,-1.00309886,3.570512538,0.001344996,0.970744794,0.987542417
AT3G20130,-0.004463124,-1.003098392,4.448194126,0.002080207,0.963621669,0.984782093
AT2G19870,-0.004393624,-1.00305007,3.79347061,0.001028372,0.974417626,0.98914708
AT1G69960,-0.004369411,-1.003033236,5.83915569,0.003562353,0.952406162,0.979825813
AT4G39740,-0.004215709,-1.00292638,2.276125239,0.000346693,0.985144501,0.993685069
AT5G61670,-0.004192781,-1.002910441,5.59640153,0.002537948,0.959821128,0.983312647
AT1G31150,-0.004110466,-1.002853221,4.144573873,0.001945363,0.964819694,0.985402252
AT1G06850,-0.004102379,-1.002847599,4.618515026,0.001651751,0.967581506,0.986511163
AT3G49810,-0.004042529,-1.002805997,5.331224583,0.002198751,0.962600228,0.984391423
AT1G72390,-0.004034527,-1.002800435,6.24442303,0.004584131,0.946019506,0.977475339
AT1G50670,-0.00401847,-1.002789274,5.540293912,0.002620545,0.95917312,0.982996491
AT4G26900,-0.004014207,-1.002786311,5.98446762,0.003347498,0.953862081,0.980115277
AT1G06040,-0.004006458,-1.002780924,8.348969789,0.002732277,0.958312613,0.982748381
AT3G55250,-0.004001406,-1.002777413,2.543088931,0.000376001,0.984529386,0.99356541
AT2G16485,-0.003993904,-1.002772199,6.691672144,0.004625112,0.945779124,0.977355362
AT3G49670,-0.00394434,-1.002737749,5.986594969,0.001749252,0.966638955,0.986287969
AT1G01260,-0.00391768,-1.002719219,5.018755556,0.001969169,0.964605238,0.985283791
AT2G47010,-0.003849578,-1.002671888,3.543997146,0.000626414,0.980032425,0.991276669
AT1G21700,-0.003839355,-1.002664782,5.798527644,0.003656159,0.951784351,0.979726421
AT2G38600,-0.003838197,-1.002663978,4.231032735,0.000839954,0.976878979,0.989888203
AT3G10260,-0.003775535,-1.002620429,5.631067433,0.001758266,0.966553163,0.986287969
AT3G18490,-0.003721821,-1.0025831,7.004782015,0.001533917,0.968758639,0.986856598
AT4G29180,-0.003717585,-1.002580157,4.501987394,0.000605327,0.98037132,0.991343418
AT2G22360,-0.003688506,-1.002559949,3.633512653,0.000932676,0.975636592,0.989623731
AT2G32040,-0.003678138,-1.002552744,5.073186003,0.00185102,0.965682814,0.985982304
AT5G56610,-0.003672518,-1.002548838,3.780578574,0.001041325,0.974257078,0.98914708
AT3G63070,-0.003662542,-1.002541906,6.612348232,0.003367225,0.953726492,0.980115277
AT1G80790,-0.003659644,-1.002539892,5.827500673,0.00236158,0.961241189,0.983908301
AT3G03860,-0.003621737,-1.002513551,5.272166425,0.00148475,0.969263158,0.98693756
AT5G13280,-0.00360579,-1.002502469,6.047959922,0.003379725,0.953640773,0.980115277
AT1G18580,-0.00358054,-1.002484924,4.982715417,0.001350956,0.970680075,0.987542417
AT1G78010,-0.003573538,-1.002480058,3.725082944,0.000723863,0.97853575,0.990479523
AT2G27130,-0.003568585,-1.002476617,3.529599293,0.000694695,0.978972538,0.990755458
AT1G20580,-0.00351764,-1.002441217,5.917638406,0.002962823,0.956591131,0.981657438
