Gene	Cluster
AT3G23510	7
AT5G59680	7
AT4G15393	7
AT1G26250	7
AT1G77990	7
AT2G37700	7
AT4G22214	7
AT3G28380	7
AT1G44050	7
AT3G60270	7
AT3G03670	7
AT1G26240	7
AT3G46500	7
AT3G44870	7
AT2G33790	7
AT1G12090	7
AT2G22630	7
AT3G30350	7
AT4G29020	8
AT1G31320	8
AT5G22390	8
AT1G27950	8
AT2G42840	8
AT5G01870	8
AT3G48970	8
AT1G72970	8
AT1G67110	8
AT1G75140	8
AT5G49360	8
AT1G44030	8
AT5G46890	8
AT5G44130	8
AT1G66950	8
AT4G24780	8
AT1G31760	8
AT4G34250	8
AT3G61060	8
AT3G56000	8
AT1G64390	8
AT5G46900	8
AT3G05155	8
AT2G03090	8
AT1G69526	8
AT1G25450	8
AT1G11740	8
AT5G54790	8
AT1G04150	8
AT2G02450	8
AT4G36540	8
AT4G14390	8
AT1G72220	8
AT1G57630	8
AT2G14960	8
AT5G62420	8
AT5G66580	8
AT5G37980	8
AT5G48290	8
AT2G38300	8
AT4G27850	8
AT5G24100	8
AT5G51750	8
AT2G18800	8
AT4G00480	8
AT1G12080	8
AT5G09290	8
AT2G13550	8
AT1G27140	8
AT5G38540	8
AT3G23805	8
AT2G43550	8
AT4G14630	8
AT5G53380	8
AT1G72590	8
AT5G24410	8
AT4G28250	8
AT4G13620	8
AT4G21750	8
AT5G62340	8
AT3G45430	8
AT1G66960	8
AT3G06460	8
AT3G46490	8
AT5G45080	8
AT3G13760	8
AT2G45550	8
AT1G09090	8
AT4G36250	8
